,,,,,,
,What We Watched: A Netflix Engagement Report,,,,,
,Views from January to June 2024,,,,,
,,,,,,
,,,,,,
,Title,Available Globally?,Release Date,Hours Viewed,Runtime,Views
,Damsel,Yes,2024-03-08,"263,700,000",1:50,"143,800,000"
,Lift,Yes,2024-01-12,"230,800,000",1:47,"129,400,000"
,Society of the Snow // La sociedad de la nieve,Yes,2024-01-04,"252,500,000",2:26,"103,800,000"
,Under Paris // Sous la Seine,Yes,2024-06-05,"146,800,000",1:44,"84,700,000"
,The Super Mario Bros. Movie,No,,"123,100,000",1:32,"80,300,000"
,Mother of the Bride,Yes,2024-05-09,"116,500,000",1:30,"77,700,000"
,Atlas,Yes,2024-05-24,"154,200,000",2:00,"77,100,000"
,Minions,No,,"110,200,000",1:31,"72,700,000"
,Irish Wish,Yes,2024-03-15,"113,000,000",1:34,"72,100,000"
,The Boss Baby,No,,"103,800,000",1:38,"63,600,000"
,Despicable Me 3,No,,"92,400,000",1:30,"61,600,000"
,Woody Woodpecker Goes to Camp,Yes,2024-04-12,"95,600,000",1:40,"57,400,000"
,Shrek,No,,"85,300,000",1:30,"56,900,000"
,Rebel Moon — Part Two: The Scargiver,Yes,2024-04-19,"115,300,000",2:04,"55,800,000"
,Rebel Moon — Part One: A Child of Fire,Yes,2023-12-21,"122,800,000",2:16,"54,200,000"
,Leo,Yes,2023-11-21,"96,200,000",1:47,"53,900,000"
,Badland Hunters // 황야,Yes,2024-01-26,"97,300,000",1:49,"53,600,000"
,The Equalizer 3,No,,"97,200,000",1:49,"53,500,000"
,Mea Culpa,Yes,2024-02-23,"105,500,000",2:00,"52,800,000"
,The Tearsmith // Fabbricante di lacrime,Yes,2024-04-04,"92,200,000",1:45,"52,700,000"
,Trigger Warning,Yes,2024-06-21,"92,900,000",1:47,"52,100,000"
,The Abyss // Avgrunden,No,2024-02-16,"84,900,000",1:43,"49,500,000"
,What Jennifer Did,Yes,2024-04-10,"68,900,000",1:27,"47,500,000"
,The Wages of Fear // Le salaire de la peur,Yes,2024-03-29,"83,500,000",1:46,"47,300,000"
,Orion and the Dark,Yes,2024-02-02,"71,700,000",1:33,"46,300,000"
,Code 8 Part II,Yes,2024-02-28,"76,100,000",1:40,"45,700,000"
,Trolls,No,,"66,200,000",1:33,"42,700,000"
,Colors of Evil: Red // Kolory zła: Czerwień,Yes,2024-05-29,"78,700,000",1:52,"42,200,000"
