Title,Season,Genres,Language,Release Date,Content Type
Stranger Things,ALL,"Horror,Science Fiction",English,2016-07-15,TV
Virgin River,ALL,"Drama,Romance",English,2019-12-06,TV
The Witcher,ALL,"Fantasy,Drama",English,2019-12-20,TV
Outer Banks,ALL,"Drama,Teen",English,2020-04-15,TV
Sweet Magnolias,ALL,"Drama,Romance",English,2020-05-19,TV
Blood & Water,ALL,"Drama,Teen",English,2020-05-20,TV
Bridgerton,ALL,"History,Drama,Romance",English,2020-12-25,TV
Ginny & Georgia,ALL,"Drama,Teen",English,2021-02-24,TV
Savage Beauty,ALL,Drama,English,2022-05-12,TV
The Lincoln Lawyer,ALL,Thriller,English,2022-05-13,TV
The Sandman,ALL,Fantasy,English,2022-08-05,TV
Heartbreak High,ALL,"Drama,Teen",English,2022-09-14,TV
The Watcher,ALL,Horror,English,2022-10-13,TV
The Recruit,ALL,Action,English,2022-12-16,TV
The Night Agent,ALL,Thriller,English,2023-03-23,TV
The Diplomat,ALL,Thriller,English,2023-04-20,TV
My Life with the Walter Boys,ALL,"Drama,Romance",English,2023-12-07,TV
3 Body Problem,ALL,Science Fiction,English,2024-03-21,TV
Postcards,ALL,Drama,English,2024-05-03,TV
Supacell,ALL,"Action,Drama",English,2024-06-27,TV
Emily in Paris,ALL,"Comedy,Drama",English,2020-10-02,TV
The Upshaws,ALL,Comedy,English,2021-05-12,TV
Mo,ALL,Comedy,English,2022-08-24,TV
Wednesday,ALL,"Horror,Comedy",English,2022-11-23,TV
Beef,ALL,"Anthology,Comedy,Drama",English,2023-04-06,TV
"XO, Kitty",ALL,"Comedy,Drama,Romance",English,2023-05-18,TV
FUBAR,ALL,"Action,Comedy",English,2023-05-25,TV
Survival of the Thickest,ALL,"Comedy,Drama",English,2023-07-13,TV
Yoh! Christmas,ALL,Comedy,English,2023-12-15,TV
The Vince Staples Show,ALL,Comedy,English,2024-02-15,TV
The Gentlemen,ALL,"Action,Comedy",English,2024-03-07,TV
Bodkin,ALL,"Comedy,Drama,Thriller",English,2024-05-09,TV
Tires,ALL,Comedy,English,2024-05-23,TV
How to Ruin Love,ALL,Comedy,English,2024-05-31,TV
Heartstopper,ALL,"Drama,Teen",English,2022-04-22,TV
One Piece,ALL,Action,English,2023-08-31,TV
Avatar: The Last Airbender,ALL,Fantasy,English,2024-02-22,TV
Geek Girl,ALL,"Drama,Teen",English,2024-05-30,TV
Big Mouth,ALL,"Adult Animation,Animation,Comedy,Teen",English,2017-09-29,TV
"Love, Death & Robots",ALL,"Adult Animation,Animation,Anthology",English,2019-03-15,TV
Mulligan,ALL,"Adult Animation,Animation,Science Fiction,Comedy",English,2023-05-12,TV
Blue Eye Samurai,ALL,"Adult Animation,Animation,Action",English,2023-11-03,TV
Masters of the Universe: Revolution,ALL,"Adult Animation,Animation,Action",English,2024-01-25,TV
Good Times: Black Again,ALL,"Adult Animation,Animation,Comedy",English,2024-04-12,TV
Exploding Kittens,ALL,"Adult Animation,Animation,Comedy",English,2024-07-12,TV
Blood of Zeus,ALL,"Anime,Action,Fantasy",English,2020-10-27,TV
Castlevania: Nocturne,ALL,"Anime,Fantasy",English,2023-09-28,TV
My Daemon,ALL,"Anime,Action,Fantasy",Japanese,2023-11-23,TV
Onmyōji,ALL,"Anime,History,Fantasy,Drama",Japanese,2023-11-28,TV
Pokémon Concierge,ALL,"Anime,Fantasy",Japanese,2023-12-28,TV
The Grimm Variations,ALL,"Anime,Anthology,Fantasy",Japanese,2024-04-17,TV
T・P BON,ALL,"Anime,Science Fiction",Japanese,2024-05-02,TV
Garouden: The Way of the Lone Wolf,ALL,"Anime,Action",Japanese,2024-05-23,TV
Rising Impact,ALL,"Anime,Sports",Japanese,2024-06-22,TV
Terminator Zero,ALL,"Anime,Science Fiction",Japanese,2024-08-29,TV
The Dragon Prince,ALL,Kids & Family,English,2018-09-14,TV
Gabby's Dollhouse,ALL,Kids & Family,English,2021-01-05,TV
"Go, Dog. Go!",ALL,Kids & Family,English,2021-01-26,TV
The Creature Cases,ALL,Kids & Family,English,2022-04-12,TV
My Little Pony: Make Your Mark,ALL,Kids & Family,English,2022-05-26,TV
Sonic Prime,ALL,Kids & Family,English,2022-12-15,TV
Princess Power,ALL,Kids & Family,English,2023-01-30,TV
Not Quite Narwhal,ALL,Kids & Family,English,2023-06-19,TV
Supa Team 4,ALL,Kids & Family,English,2023-07-20,TV
Dew Drop Diaries,ALL,Kids & Family,English,2023-07-24,TV
Little Baby Bum: Music Time,ALL,Kids & Family,English,2023-09-25,TV
Unicorn Academy,ALL,Kids & Family,English,2023-11-02,TV
CoComelon Lane,ALL,Kids & Family,English,2023-11-17,TV
Mighty Bheem's Playtime,ALL,Kids & Family,No spoken language,2024-01-29,TV
Dee & Friends in Oz,ALL,Kids & Family,English,2024-02-05,TV
Hot Wheels Let's Race,ALL,Kids & Family,English,2024-03-04,TV
Bad Dinosaurs,ALL,Kids & Family,English,2024-03-28,TV
Jurassic World: Chaos Theory,ALL,Kids & Family,English,2024-05-24,TV
Wonderoos,ALL,Kids & Family,English,2024-07-15,TV
AlRawabi School for Girls,ALL,Drama,Arabic,2021-08-12,TV
Finding Ola,ALL,"Comedy,Drama",Arabic,2022-02-03,TV
The Exchange,ALL,Drama,Arabic,2023-02-08,TV
Represent,ALL,Comedy,French,2023-01-20,TV
Blood Coast,ALL,"Drama,Crime",French,2023-12-06,TV
Furies,ALL,Action,French,2024-03-01,TV
How to Sell Drugs Online (Fast),ALL,Comedy,German,2019-05-31,TV
Kleo,ALL,Thriller,German,2022-08-19,TV
The Empress,ALL,"History,Drama",German,2022-09-29,TV
Crooks,ALL,"Drama,Crime",German,2024-04-04,TV
Delhi Crime,ALL,Crime,Hindi,2019-03-22,TV
She,ALL,"Drama,Crime",Hindi,2020-03-20,TV
Mismatched,ALL,"Comedy,Romance",Hindi,2020-11-20,TV
Yeh Kaali Kaali Ankhein,ALL,"Romance,Thriller",Hindi,2022-01-14,TV
Class,ALL,"Thriller,Teen,Crime",Hindi,2023-02-03,TV
Rana Naidu,ALL,"Drama,Crime",Hindi,2023-03-10,TV
Guns & Gulaabs,ALL,"Comedy,Thriller,Crime",Hindi,2023-08-18,TV
Kaala Paani,ALL,"Drama,Thriller",Hindi,2023-10-18,TV
Killer Soup,ALL,"Comedy,Thriller,Crime",Hindi,2024-01-11,TV
Maamla Legal Hai,ALL,"Comedy,Drama",Hindi,2024-03-01,TV
Heeramandi: The Diamond Bazaar,ALL,"Drama,Kids & Family",Hindi,2024-05-01,TV
Tribhuvan Mishra CA Topper,ALL,Comedy,Hindi,2024-07-18,TV
Di4ries,ALL,Teen,Italian,2022-05-18,TV
Everything Calls for Salvation,ALL,Drama,Italian,2022-10-14,TV
I Hate Christmas,ALL,Comedy,Italian,2022-12-07,TV
The Law According to Lidia Poët,ALL,"History,Drama",Italian,2023-02-15,TV
Supersex,ALL,"Biography,Drama",Italian,2024-03-06,TV
Brigands: The Quest for Gold,ALL,"History,Drama",Italian,2024-04-23,TV
Alice in Borderland,ALL,"Fantasy,Thriller",Japanese,2020-12-10,TV
YuYu Hakusho,ALL,"Action,Fantasy",Japanese,2023-12-14,TV
House of Ninjas,ALL,"Action,Thriller",Japanese,2024-02-15,TV
Tokyo Swindlers,ALL,"Thriller,Crime",Japanese,2024-07-25,TV
Chastity High,ALL,"Drama,Teen",Japanese,2024-08-29,TV
Squid Game,ALL,"Action,Thriller",Korean,2021-09-17,TV
Hellbound,ALL,"Fantasy,Thriller",Korean,2021-11-19,TV
All of Us Are Dead,ALL,Science Fiction,Korean,2022-01-28,TV
Bloodhounds,ALL,"Action,Drama",Korean,2023-06-09,TV
Gyeongseong Creature,ALL,"History,Drama,Thriller",Korean,2023-12-22,TV
A Killer Paradox,ALL,"Comedy,Thriller,Crime",Korean,2024-02-09,TV
The Victims' Game,ALL,Thriller,Mandarin,2020-04-30,TV
Let's Talk About CHU,ALL,"Comedy,Romance",Mandarin,2024-02-02,TV
GG Precinct,ALL,"Comedy,Crime",Mandarin,2024-08-22,TV
The Green Glove Gang,ALL,Comedy,Polish,2022-10-19,TV
1670,ALL,Comedy,Polish,2023-12-13,TV
Detective Forst,ALL,"Drama,Crime",Polish,2024-01-11,TV
Sintonia,ALL,"Drama,Teen,Crime",Portuguese,2019-08-09,TV
Turn of the Tide,ALL,Thriller,Portuguese,2023-05-26,TV
Criminal Code,ALL,"Drama,Crime",Portuguese,2023-11-14,TV
End of the Line,ALL,Comedy,Portuguese,2024-01-17,TV
Luz: The Light of the Heart,ALL,Teen,Portuguese,2024-02-07,TV
Valeria,ALL,"Comedy,Drama",Spanish,2020-05-08,TV
Alpha Males,ALL,Comedy,Spanish,2022-12-30,TV
The Snow Girl,ALL,Thriller,Spanish,2023-01-27,TV
Eva Lasting,ALL,"Drama,Romance",Spanish,2023-02-15,TV
Community Squad,ALL,Comedy,Spanish,2023-02-17,TV
